   śrīḥ /	SrIH /
   śrīharirjayati /	SrI-hariH-jayati /
   śrīmate rāmānujāya namaḥ /	SrImate rAma-anujAya namaH /
   paramācāryaśrīmadyāmunamunisamanugṛhīte siddhitraye - saṃvitsiddhiḥ /	parama-AcArya-SrImat-yAmuna-muni-samanugRhIte sidDi-traye  saMvid-sidDiH /
   siddhāñjananāmakavyākhyopetā /	sidDAQjana-nAmaka-vyAKyA-upetAH /
   ekamevādvitīyaṃ tadbrahmetyupaniṣadvacaḥ /	ekam-eva-advitIyam tat-brahma-iti-upanizad-vacaH /
   brahmaṇo 'nyasya sadbhāvaṃ nanu tatpratiṣedhati // 1 //	brahmaNaH anyasya sadBAvam nanu tat-pratizeDati // 1 //
   (vyākhyā) īṣṭe viśvasya nityaṃ vyapagatatulanāyogyavastvantaro yo vidye	(vyAKyA) Izwe viSvasya nityam vyapagata-tulana-ayogya-vastu-antaraH yaH vidye
   yasyādhigatyai vidurupaniṣado dve parāṃ cāparāṃ ca /	yasya-aDigatyE viduH-upanizadaH dve parAm ca-aparAm ca /
   yo viśvasvāntavāsī prathayati ca dhiyaṃ tasya tasyānurūpāṃ devaḥ śrīmān sa	yaH viSva-sva-anta-vAsI praTayati ca Diyam tasya tasya-anurUpAm devaH SrImAn sa
   mahyaṃ pradiśatu dayayā dhīvikāsaṃ samantāt // 1 //	mahyam pradiSatu dayayA DI-vikAsam samantAt // 1 //
   yāmunāśayavijñaṃ taṃ dhyātvā lakṣmaṇayoginam /	yAmunA-ASaya-vijQam tam DyAtvA lakzmaNa-yoginam /
   yāmunāryakṛtiṃ saṃvitsiddhiṃ vyākaravāṇyaham // 2 //	yAmunA-Arya-kRtim saMvid-sidDim vyAkaravANi-aham // 2 //
   pramāṇaphalarūpāyāḥ saṃvidaḥ prameyatattvavyavasthāpikāyāḥ	pramANa-Pala-rUpAyAH saMvidaH prameya-tattva-vyavasTApikAyAH
   svarūpādiviśodhyate 'tra saṃvistiddhau /	svarUpa-Adi-viSoDyate atra saMvistidDO /
   iyamādimā siddhitraye ślokavārtikacchlokamālikārūpā /	iyam-AdimA sidDi-traye Sloka-vArtika=-Cloka-mAlikA-rUpAH /
   tantravārtikavaccātmeśvarasiddhī /	tantra-vArtika-vat-ca-Atma-ISvara-sidDI /
   atra copakramamadhyāvasāneṣu bhūyān granthabhāgo luptaḥ /	atra ca-upakrama-maDya-avasAnezu BUyAn granTa-BAgaH luptaH /
   upalabhyamānasaṃvitsiddhibhāge ca bahulamadvaitimatanirāso dṛśyate /	upalaByamAna-saMvid-sidDi-BAge ca bahulam-advEti-mata-nirAsaH dRSyate /
   advaitino hisadeva somyedamagra āsīdekamevādvitīyamiti kāraṇībhūtasya	advEtinaH hisat-eva somya-idam-agre AsIt-ekam-eva-advitIyam-iti kAraNIBUtasya
   sacchabditasya parabrahmaṇo 'dvitīyatvaśravaṇātsatyaṃ jñānamanantaṃ	sat-Sabditasya para-brahmaNaH advitIya-tva-SravaNAt-satyam jQAnam-anantam
   brahmeti jñānamātratvaśravaṇācca sajātīyavijātīyasvagatabhedasāmānyaśūnyaṃ	brahma-iti jQAna-mAtra-tva-SravaNAt-ca sajAtIya-vijAtIya-sva-gata-Beda-sAmAnya-SUnyam
   brahmaiva cinmātraṃ sat paramārthaḥ, anyatsarvaṃ tatraivāvidyayā	brahma-eva cit-mAtram sat parama-arTaH, anyat-sarvam tatra-eva-avidyayA
   parikalpitaṃ mithyābhūtamityāmananti /	parikalpitam miTyABUtam-iti-Amananti /
   tatrādvitīyaśrutestadabhimatārthapratipādakatvāsambhavaṃ varṇayitumādau	tatra-advitIya-SruteH-tad-aBimata-arTa-pratipAdaka-tva-asamBavam varNayitum-AdO
   tanmatamanuvadatiekameveti /	tat-matam-anuvat-ati-ekam-eva-iti /
   yattadornityasaṃbandhātpūrvārdhe yadi tyanuṣajyate /	yat-tadoH-nitya-saMbanDAt-pUrva-arDe yadi tyanuzajyate /
   yat upaniṣadvacaḥ, tadityanvayaḥ /	yat upanizad-vacaH, tat-iti-anvayaH /
   yadvā uttarārdhe tacchadbaḥ prasiddhaparāmarśī na tu	yat-vA uttara-arDe tad-CadbaH prasidDa-parAmarSI na tu
   yacchabdanirdiṣṭapratinirdeśarūpaḥ /	yat-Sabda-nirdizwa-pratinirdeSa-rUpaH /
   tadbrahmetyatrasadbrahmeti pāṭhaḥ saṃbhāvyate /	tat-brahmA-iti-atrasat-brahmA-iti pAWaH saMBAvyate /
   brahmavācisatpadaviśeṣaṇamadvitīyapadaṃ brahmaṇo 'nyasyāsattvaparamiti	brahma-vAci-sat-pada-viSezaNam-advitIya-padam brahmaNaH anyasya-asattva-param-iti
   pūrvapakṣiṇāmāśayaḥ // 1 //	pUrva-pakziNAm-ASayaH // 1 //
   atre brūmo 'dvitīyoktau samāsaḥ ko vivakṣitaḥ /	atre brUmaH advitIya-uktO samAsaH kaH vivakzitaH /
   kiṃsvittatpuruṣaḥ kiṃ vā bahuvrīhirathocyatām // 2 //	kiMsvid-tad-puruzaH kim vA bahu-vrIhi-raTa-ucyatAm // 2 //
   tamimaṃ dūṣayitumadvitīyapade vṛttiṃ vikalpayati siddhāntīatreti /	tam-imam dUzayitum-advitIya-pade vRttim vikalpayati sidDAntI-atra-iti /
   advitīyoktau - advitīyapade /	advitIya-uktO  advitIya-pade /
   athavā kiṃ bahuvrīhirityanvayaḥ // 2 //	aTavA kim bahuvrIhiH-iti-anvayaH // 2 //
   pūrvasminnuttarastāvatprādhānyena vivakṣyate /	pUrvasmin=-uttaraH-tAvat-prADAnyena vivakzyate /
   padārthastatra tadbrahma tato 'nyatsadṛśaṃ tu vā // 3 //	padArTaH-tatra tat-brahma tatas anyat-sadRSam tu vA // 3 //
   tadviruddhamatho vā syātriṣvapyanyanna bādhate /	tad-virudDam-aTo vA syAtrizu-api-anyat-na bADate /
   anyatve sadṛśatve vā dvitīyaṃ sidhyati dhruvam // 4 //	anya-tve sadRSa-tve vA dvitIyam siDyati Druvam // 4 //
   advitīyapadasya tatpuruṣavṛttatve na dvitīyasya bādha ityāhapūrvasmin	advitIya-padasya tatpuruza-vRtta-tve na dvitIyasya bADaH iti-Aha-pUrvasmin
   ityādinā ślokacatuṣṭayena /	ityAdinA Sloka-catuzwayena /
   tatpuruṣa iti prathamakalpe tāvaduttarapadārthaḥ prādhānyena vivakṣyate,	tatpuruzaH iti praTama-kalpe tAvat-uttara-padArTaH prADAnyena vivakzyate,
   uttarapadārthapradhānatvāttatpuruṣasyetyarthaḥ /	uttara-padArTa-praDAna-tvAt-tatpuruzasya-iti-arTaH /
   tatreti /	tatra-iti /
   na dvitīyamadvitīyam /	na dvitIyam-advitIyam /
   nañtatpuruṣe cāropitatvasya pūrvapadārthatvaṃ tasya	nan-tatpuruze ca-Aropita-tvasya pUrva-padArTa-tvam tasya
   cottarapadārthaviśeṣaṇatvamiṣyate śābdikaiḥ /	ca-uttara-padArTa-viSezaNa-tvam-izyate SAbdikEH /
   āropaśca sadṛśādau /	AropaH-ca sadRSa-AdO /
   tatphalitakathanaṃ tadanyādyarthe nañ iti /	tad-Palita-kaTanam tad-anya-Adi-arTe nan iti /
   nañivayuktamanyasadṛśādhikaraṇe tathā hyarthagatiriti ca śābdikānāṃ	naQiva-yuktam-anya-sadRSa-aDikaraNe taTA hi-arTa-gatiH-iti ca SAbdikAnAm
   paribhāṣā /	pariBAzA /
   tathā cādvitīyapadenāropitadvitīyatvavadbrahmeti bodhe tatra	taTA ca-advitIya-padena-Aropita-dvitIya-tva-vat-brahma-iti boDe tatra
   dvitīyānyatvasya dvitīyasadṛśatvasya dvitīyaviruddhatvasya vā pratītiḥ	dvitIya-anyatvasya dvitIya-sadRSa-tvasya dvitIya-virudDa-tvasya vA pratItiH
   phalati /	Palati /
   arthatraye 'pi brahmabhinnasya dvitīyapadārthasya na bādhaḥ /	arTa-traye api brahma-Binnasya dvitIya-padArTasya na bADaH /
   dvitīyapratiyogikasya bhedasya sādṛśyasya vā pratibodhane pratiyogitayā	dvitIya-pratiyogikasya Bedasya sAdRSyasya vA pratiboDane pratiyogi-tayA
   dvitīyasiddherniṣpratyūhatvāditi bhāvaḥ // 3 //4 //	dvitIya-sidDeH-nizpratyUha-tvAt-iti BAvaH // 3 //4 //
   viruddhatve dvitīyena tṛtīyaṃ prathamaṃ tu vā /	virudDa-tve dvitIyena tRtIyam praTamam tu vA /
   brahma prāpnoti yasmāttat dvitīyena virudhyate // 5 //	brahma prApnoti yasmAt-tat dvitIyena viruDyate // 5 //
   nanvevamapi dvitīyaviruddhatve brahmaṇo bodhite kathaṃ na dvitīyasya bādha	nanu-evam-api dvitIya-virudDa-tve brahmaNaH boDite kaTam na dvitIyasya bADa
   ityatrāhaviruddhatvaiti /	iti-atra-aha-virudDa-tvA-eti /
   ayamāśayaḥ - dvitīyatvaṃ atra dvitvasaṅkhyāpūrakatvarūpam /	ayam-ASayaH  dvitIya-tvam atra dvi-tva-saFKyA-pUraka-tva-rUpam /
   dvitīyaviruddhatvaṃ ca dvitīyatvaviruddhadharmavattvāt /	dvitIya-virudDa-tvam ca dvitIya-tva-virudDa-Darmavat-tvAt /
   sa ca dharmaḥ prathamatvaṃ niyamataḥ tṛtīyatvādi vā /	sa ca DarmaH praTama-tvam niyamataH tRtIya-tva-Adi vA /
   naitāvatā dvitīyasya kasyacidbādha iti // 5 //	na-etAvatA dvitIyasya kasyacid-bADaH iti // 5 //
   ataḥ saprathamāḥ sarve tṛtīyādyartharāśayaḥ /	atas sa-praTamAH sarve tRtIya-Adi-arTa-rASayaH /
   dvitīyena tathā spṛṣṭvā svasthāstiṣṭhantyabādhitāḥ // 6 //	dvitIyena taTA spRzwvA svasTAH-tizWanti-abADitAH // 6 //
   tadāhaataiti /	tat-A-AhaatA-eti /
   dvitīyena - dvitvasaṅkhyāpūrakeṇa, tathā spṛṣṭvā - virodhasaṃbandhena	dvitIyena  dvi-tva-saFKyA-pUrakeNa, taTA spRzwvA  viroDa-saMbanDena
   sambadhya, svasthāḥ - svasvapramāṇādhīnasiddhikāḥ santaḥ,	sambaDya, svasTAH  sva-sva-pramANa-aDIna-sidDikAH santaH,
   advitīyoktyābādhitāḥ prathamatṛtīyādyartharāśayo vartanta evetyarthaḥ /	advitIya-ukti-AbADitAH praTama-tRtIya-Adi-arTa-rASayaH vartante eva-iti-arTaH /
   spṛṣṭā iti pāṭhaḥ saṃbhāvyate // 6 //	spRzwAH iti pAWaH saMBAvyate // 6 //
   nanu nañ brahmaṇo 'nyasya sarvasyaiva niṣedhakam /	nanu nan brahmaNaH anyasya sarvasya-eva nizeDakam /
   dvitīyagrahaṇaṃ yasmātsarvasyavopalakṣaṇam // 7 //	dvitIya-grahaNam yasmAt-sarvasyavopalakzaNam // 7 //
   atra śaṅkate pūrvapakṣīnanu nañiti /	atra SaFkate pUrva-pakzIn-anu naQiti /
   ayamāśayaḥ-dvitīyapadaṃ na mukhyārthakam /	ayam-ASayaH--dvitIya-padam na muKya-arTakam /
   kintu bhedaprapañcamātralakṣakam /	kintu Beda-prapaQca-mAtra-lakzakam /
   nañpadaṃ cātyantābhāvārthakam /	naQpadam ca-atyanta-aBAva-arTakam /
   dvitīyasyābhāvo 'dvitīyam /	dvitIyasya-aBAvaH advitIyam /
   arthābhāve 'vyayībhāvaḥ /	arTa-aBAve avyayIBAvaH /
   tathā ca bhedaprapañcabādhaḥ sidhyatyadvitīyaśrutyeti // 7 //	taTA ca Beda-prapaQca-bADaH siDyati-advitIya-SrutyA-iti // 7 //
   naivaṃ viṣedho na hyasmādvidīyasyāvagamyate /	na-evam vizeDaH na hi-asmAt-vidIyasya-avagamyate /
   tato 'nyattadviruddhaṃ vā sadṛśaṃ vātra vakti saḥ // 8 //	tatas anyat-tat-virudDam vA sadRSam vA-atra vakti saH // 8 //
   pariharatinaivamiti /	pariharatinA-evam-iti /
   hirhetau /	hirhetO /
   yato 'smādadvitīyapadādbrahmapadasamānādhikaraṇāt dvitīyato	yatas asmAt-advitIya-padAt-brahma-pada-samAna-aDikaraNAt dvitIyataH-
   bhinnatvādireva bodhyate brahmaṇaḥ /	Binna-tvAdiH-eva boDyate brahmaNaH /
   na tu prapañcaniṣedhamātram /	na tu prapaQca-nizeDa-mAtram /
   ato nātrāvyayībhāvo yukta iti bhāvaḥ /	atas na-atra-avyayIBAvaH yuktaH iti BAvaH /
   avikalpito 'pyayaṃ prasaṅgātpratikṣipyate 'tra /	avikalpitaH api-ayam prasaFgAt-pratikzipyate atra /
   saḥ-advitīyaśabdaḥ // 8 //	saH--advitIya-SabdaH // 8 //
   dvitīyaṃ yasya naivāsti tadbrahmeti vivakṣite /	dvitIyam yasya na-eva-asti tat-brahma-iti vivakzite /
   satyādilakṣaṇoktīnāmapalakṣaṇatā bhavet // 9 //	satya-Adi-lakzaNa-uktI-nAmapalakzaNa-tA Bavet // 9 //
   anupapannaśca brahmabhinnasya sarvasya niṣedhaḥ /	anupapannaH-ca brahma-Binnasya sarvasya nizeDaH /
   tathā sati brahmalakṣaṇavākyānāmasaṅgatiprasaṅgādityāhadvitīyamiti /	taTA sati brahma-lakzaNa-vAkyAnAm-asaFgati-prasaFgAt-ityAha-dvitIyam-iti /
   yatsaṃbandhino 'nyasya-yato bhinnasya sarvasyābhāvaḥ,	yad-saMbanDinaH anyasya-yataH Binnasya sarvasya-aBAvaH,
   tadbrahmetyarthakathane lakṣyavṛttyasādhāraṇadharmarūpasya	tat-brahma-iti-arTa-kaTane lakzya-vRtti-asADAraNa-Darma-rUpasya
   lakṣaṇasyāpyasattvātsatyajñānādilakṣaṇavākyamapalakṣaṇaṃbhavediti bhāvaḥ	lakzaNasya-api-asattvAt-satya-jQAna-Adi-lakzaNa-vAkyam-apalakzaNaMBavet-iti BAvaH
   advitīye dvitīyārthanāstitāmātragocare /	advitIye dvitIya-arTa-nAstitA-mAtra-gocare /
   svaniṣṭhatvānnañarthasya na syādbrahmapadānvayaḥ // 10 //	sva-nizWatvAt-naQarTasya na syAt-brahma-pada-anvayaH // 10 //
   avyayībhāvasya satpadenānanvayamapyāhaadvitīyaiti /	avyayIBAvasya sat-padena-ananvayam-api-Ahaa-dvitIyA-eti /
   advitīye-advitīyapade /	advitIye-a-dvitIya-pade /
   svaniṣṭhatvātsvapradhānatvāt /	sva-nizWa-tvAt-sva-praDAna-tvAt /
   itarapadārthāviśeṣaṇatvāditi yāvat /	itara-padArTa-aviSezaNa-tvAt-iti yAvat /
   brahmavācisatpade viśeṣaṇatayānvayo na syāt /	brahma-vAci-sat-pade viSezaNa-tayA-anvayaH na syAt /
   tatsamānādhikaraṇaṃ tadviśeṣaṇaṃ hīdam /	tad-samAna-aDikaraNam tad-viSezaNam hi-idam /
   tanneṣṭāpattiḥ kartuṃ śakyā /	tat-na-izwApattiH kartum SakyAH /
   vākyabhedaprasaṅgaśca tathāsatīti bhāvaḥ // 10 //	vAkya-Beda-prasaFgaH-ca taTA-asati-iti BAvaH // 10 //
   dvitīyaśūnyatā tatra brahmaṇo na viśeṣaṇam /	dvitIya-SUnyatA tatra brahmaNaH na viSezaNam /
   viśeṣaṇe vā tadbrahma tṛtīyaṃ prathamaṃ tu vā // 11 //	viSezaNe vA tat-brahma tRtIyam praTamam tu vA // 11 //
   nanu dvitīyābhāvo brahmasvarūpameva /	nanu dvitIya-aBAvaH brahma-svarUpam-eva /
   tadbrahmapadasāmānādhikaraṇyaṃ ghaṭata iti cettatrāhadvitīyeti /	tat-brahma-pada-sAmAnADikaraNyam GawataH iti ced-tatrAha-dvitIya-iti /
   dvitīyābhāvo 'bhedena brahmaṇo na viśeṣaṇaṃ bhavitumarhati /	dvitIya-aBAvaH aBedena brahmaNaH na viSezaNam Bavitum-arhati /
   abhāvasya tucchatvādbrahmaṇaḥ satyatvāt satyatucchayoraikyāyogāditi	aBAvasya tucCa-tvAt-brahmaNaH satya-tvAt satya-tucCayoH-Ekya-ayogAt-iti
   pūrvārdhasyārthaḥ /	pUrva-arDasya-arTaH /
   brahmaviśeṣaṇatve 'pi vadāmaḥ dvitīyaṃ pratīyogi prathamam /	brahma-viSezaNa-tve api vadAmaH dvitIyam pratIyogi praTamam /
   tadabhāvatvaṃ dvitīyam /	tad-aBAva-tvam dvitIyam /
   tṛtīyaṃ ca viśeṣyaṃ brahma /	tRtIyam ca viSezyam brahma /
   yadvā brahma prathamam /	yat-vA brahma praTamam /
   dvitīyaṃ pratiyogi dvitīyam /	dvitIyam pratiyogi dvitIyam /
   tṛtīyaṃ tadabhāvatvaviśeṣaṇamiti prathamatvaṃ tṛtīyatvaṃ vā brahmaṇo	tRtIyam tad-aBAva-tva-viSezaNam-iti praTama-tvam tRtIya-tvam vA brahmaNaH-
   'varjanīyamityuttarārdhārthaḥ /	avarjanIyam-iti-uttara-arDa-arTaH /
   evamavyayībhāvapakṣe 'pyanupapattiruktā // 11 //	evam-avyayIBAva-pakze api-anupapattiH-uktAH // 11 //
   prasaktaṃ pūrvavatsarvaṃ bahurvīhau samasyati /	prasaktam pUrvavat-sarvam bahuH-vIhO samasyati /
   brahmaṇaḥ prathamā ye ca tṛtīyādyā jagatrtraye // 12 //	brahmaNaH praTamA ye ca tRtIya-AdyAH jagatrtraye // 12 //
   brahma pratyadvitīyatvātsvasthāstiṣṭhantyabādhitāḥ /	brahma pratyadvitIya-tvAt-svasTAH-tizWanti-abADitAH /
   kiñca tatra bahuvrīhau samāse saṃśrite sati // 13 //	kiQca tatra bahuvrIhO samAse saMSrite sati // 13 //
   vṛttyarthasya nañarthasya na padārthāntarānvayaḥ /	vRtti-arTasya naQarTasya na padArTa-antara-anvayaH /
   satyā(tyar)thāntarasambandhe ṣaṣṭhī yasyeti yujyate // 14 //	satya-a(ti-ar)Ta-antara-sambanDe zazWI yasya-iti yujyate // 14 //
   atha bahuvrīhipakṣe dūṣaṇamāhaprasaktamiti /	aTa bahu-vrIhi-pakze dUzaNa-mAha-prasaktam-iti /
   bahuvrīhivṛtte 'pyadvitīyapadetatpuruṣa iva prathamatṛtīyādisarvasadbhāvo	bahu-vrIhi-vRtte api-advitIya-pad-e-tatpuruzaH iva praTama-tRtIya-Adi-sarva-sadBAvaH-
   'nivāryaḥ prasakta evetyarthaḥ /	anivAryaH prasaktaH eva-iti-arTaH /
   tadevopapādayatyardhābhyāṃbrahmaṇa iti,brahmeti ca /	tat-eva-upapAdayati-arDAByAMbrahmaNaH iti,brahma-iti ca /
   nāsti dvitīyaṃ yasya tadbrahmetyatra pakṣe vigrahaḥ /	na-asti dvitIyam yasya tat-brahmA-iti-atra pakze vigrahaH /
