   agre māhiṣikaṃ dṛṣṭvā YS78v_35a	agre mAhizikam dRzwvA YS78u-_35a
   ajñānāt tu dvijaśreṣṭha YS78v_78a	ajQAnAt tu dvijaSrezWa YS78u-_78a
   ato bālatarasyāpi YS78v_16a	atas bAlatarasya-api YS78u-_16a
   athāto hy asya dharmasya YS78v_1a	aTa-atas hi asya Darmasya YS78u-_1a
   anāhitāgnir varteta YS78v_48c	anAhitAgniH varteta YS78u-_48c
   anucchiṣṭena saṃspṛṣṭe YS78v_42a	anucCizwena saMspRzwe YS78u-_42a
   ante vārdhuṣikaṃ dṛṣṭvā YS78v_35c	ante vArDuzikam dRzwvA YS78u-_35c
   annaṃ śūdrasya bhojyaṃ vā YS78v_21a	annam SUdrasya Bojyam vA YS78u-_21a
   anyathāhāradoṣeṇa YS78v_9c	anyaTA-AhAra-dozeNa YS78u-_9c
   aparās te na ca spṛśyās YS78v_13c	aparAH te na ca spRSyAH YS78u-_13c
   apaḥ karanakhaspṛṣṭāḥ YS78v_65a	apaH karanaKa-spRzwAH YS78u-_65a
   abhakṣyāṇām apeyānām YS78v_46a	aBakzyANAm apeyAnAm YS78u-_46a
   abhojyāś cāpratigrāhyā YS78v_14a	aBojyAH ca-apratigrAhyA YS78u-_14a
   amāvāsyāṃ na bhuñjīta YS78v_10c	amAvAsyAm na BuQjIta YS78u-_10c
   amedhyaliptaṃ tu bhavec charīram YS78v_44b	ameDya-liptam tu Bavet SarIram YS78u-_44b
   ayājyānāñ ca yājakaḥ YS78v_30d	ayAjyAnAn ca yAjakaH YS78u-_30d
   arddhakṛcchran tu khāte syāt YS78v_69c	ardDa-kRcCran tu KAte syAt YS78u-_69c
   alehyānāñ ca bhakṣaṇe YS78v_46b	alehyAnAn ca BakzaNe YS78u-_46b
   avṛṣeṇa bṛhaspatiḥ YS78v_27b	avRzeNa bRhaspatiH YS78u-_27b
   aśītīryasya varṣāṇi YS78v_17a	aSItIH-yasya varzANi YS78u-_17a
   aśnanti pitaras tāvad YS78v_38c	aSnanti pitaraH tAvat YS78u-_38c
   asadālāpakas tathā YS78v_31d	asat-AlApakaH taTA YS78u-_31d
   asaṃpāṭhyā vivāhinaḥ YS78v_14b	asaMpAWyA vivAhinaH YS78u-_14b
   asaṃbhāṣyo hy apāṅkteyaḥ YS78v_24c	asaMBAzyaH hi apAFkteyaH YS78u-_24c
   astaṃ gato yadā sūryaś YS78v_18a	astam gataH yadA sUryaH YS78u-_18a
   ācaret trīṇi kṛcchrāṇi YS78v_49a	Acaret trINi kRcCrANi YS78u-_49a
   āture snānasamprāpte YS78v_53a	Ature snAna-samprApte YS78u-_53a
   āhāraṃ maithunaṃ nidrāṃ YS78v_76c	AhAram mETunam nidrAm YS78u-_76c
   āhārāj jāyate vyādhiḥ YS78v_77a	AhArAt jAyate vyADiH YS78u-_77a
   indudvayena śuddhyanti YS78v_4c	indu-dvayena SudDyanti YS78u-_4c
   iha loke paratra ca YS78v_12d	iha loke paratra ca YS78u-_12d
   ucchiṣṭocchiṣtasaṃspṛṣṭaḥ YS78v_41a	ucCizwa-ucCizta-saMspRzwaH YS78u-_41a
   udakyā patitena ca YS78v_63b	udakyA patitena ca YS78u-_63b
   upapattim avasthāñ ca YS78v_51c	upapattim avasTAn ca YS78u-_51c
   upoṣya rajamīm ekāṃ YS78v_41c	upozya rajamIm ekAm YS78u-_41c
   ubhayāvasitāḥ pāpā YS78v_4a	uBaya-avasitAH pApAH YS78u-_4a
   ubhayoḥ sūtakaṃ bhavet YS78v_75b	uBayoH sUtakam Bavet YS78u-_75b
   ūnaikādaśavarṣasya YS78v_15a	Una-ekAdaSa-varzasya YS78u-_15a
   ūrdhvaṃ nābheḥ karau muktvā YS78v_45a	UrDvam nABeH karO muktvA YS78u-_45a
   ūrdhvaṃ snānam adhaḥ śaucaṃ YS78v_45c	UrDvam snAnam aDas SOcam YS78u-_45c
