   oṃ tatsadbrahmaṇe namaḥ |	om tad-sat-brahmaNe namaH |
   yamasmṛtiḥ |	yama-smRtiH |
   śrutismṛtyuditaṃ dharmaṃ varṇānām anupūrvaśaḥ /	Sruti-smRti-uditam Darmam varNAnAm anupUrvaSas /
   prābravīd ṛṣibhiḥ pṛṣṭo munīnām agraṇīr yamaḥ // YS99v_1 //	prAbravIt RziBiH pRzwaH munInAm agraNIH yamaH // YS99u-_1 //
   yo bhuñjāno 'śucir vāpi caṇḍālaṃ patitaṃ spṛśet /	yaH BuQjAnaH aSuciH vA-api caNxAlam patitam spRSet /
   krodhād ajñānato vāpi tasya vakṣyāmi niṣkṛtim // YS99v_2 //	kroDAt ajQAnataH vA-api tasya vakzyAmi nizkRtim // YS99u-_2 //
   ṣaḍrātraṃ vā trirātraṃ vā yathāsaṃkhyaṃ samācaret /	zaz-rAtram vA tri-rAtram vA yaTAsaMKyam samAcaret /
   snātvā triṣavaṇaṃ vipraḥ pañcagavyena śudhyati // YS99v_3 //	snAtvA trizavaNam vipraH paQcagavyena SuDyati // YS99u-_3 //
   bhuñjānasya tu viprasya kadācit sravate gudam /	BuQjAnasya tu viprasya kadAcid sravate gudam /
   ucchiṣṭatve 'śucitve ca tasya śaucaṃ vinirdiśet // YS99v_4 //	ucCizwa-tve aSuci-tve ca tasya SOcam vinirdiSet // YS99u-_4 //
   pūrvaṃ kṛtvā dvijaḥ śaucaṃ paścād apa upaspṛśet /	pUrvam kRtvA dvijaH SOcam paScAt apaH upaspRSet /
   ahorātroṣito bhūtvā pañcagavyena śudhyati // YS99v_5 //	ahorAtra-uzitaH BUtvA paQcagavyena SuDyati // YS99u-_5 //
   nigiranyadi meheta bhuktvā vā mehane kṛte /	nigiranyadi meheta BuktvA vA mehane kRte /
   ahorātroṣito bhūtvā juhuyāt sarpiṣāhutīḥ // YS99v_6 //	ahorAtra-uzitaH BUtvA juhuyAt sarpizA-AhutIH // YS99u-_6 //
   yadā bhojanakāle syād aśucir brāhmaṇaḥ kvacit /	yadA Bojana-kAle syAt aSuciH brAhmaNaH kvacid /
   bhūmau nidhāya tad grāsaṃ snātvā śuddhim avāpnuyāt // YS99v_7 //	BUmO niDAya tat grAsam snAtvA SudDim avApnuyAt // YS99u-_7 //
   bhakṣayitvā tu tad grāsam upavāsena śudhyati /	BakzayitvA tu tat grAsam upavAsena SuDyati /
   aśitvā caiva tat sarvaṃ trirātreṇaiva śudhyati // YS99v_8 //	aSitvA ca-eva tat sarvam tri-rAtreNa-eva SuDyati // YS99u-_8 //
   aśnataś ced virekaḥ syād asvasthas triśataṃ japet /	aSnataH ced virekaH syAt asvasTaH tri-Satam japet /
   svasthas trīṇi sahasrāṇi gāyatryāḥ śodhanaṃ param // YS99v_9 //	svasTaH trINi sahasrANi gAyatryAH SoDanam param // YS99u-_9 //
   caṇḍālaiḥ śvapacaiḥ spṛṣṭo viṇmūtre tu kṛte dvijaḥ /	caNxAlEH SvapacEH spRzwaH viz-mUtre tu kRte dvijaH /
   trirātraṃ tu prakurvīta bhuktvocchiṣṭaḥ ṣaḍ ācaret // YS99v_10 //	tri-rAtram tu prakurvIta BuktvA-ucCizwaH zaw Acaret // YS99u-_10 //
   udakyāṃ sūtikāṃ vāpi saṃspṛśed antyajo yadi /	udakyAm sUtikAm vA-api saMspRSet antyajaH yadi /
   trirātreṇa viśuddhiḥ syād iti śātātapo 'bravīt // YS99v_11 //	tri-rAtreNa viSudDiH syAt iti SAtAtapaH abravIt // YS99u-_11 //
   rajasvalā tu saṃspṛṣṭā śvamātaṅgādivāyasaiḥ /	rajasvalA tu saMspRzwA Sva-mAtaFga-Adi-va-AyasEH /
   nirāhārā śucis tiṣṭhet kālasnānena śudhyati // YS99v_12 //	nirAhArA SuciH tizWet kAla-snAnena SuDyati // YS99u-_12 //
   rajasvale yadā nāryāv anyonyaṃ spṛśate(taḥ) kvacit /	rajasvale yadA nAryO anyonyam spRSata-i(taH) kvacid /
   śudhyataḥ pañcagavyena brahmakūrcena copari // YS99v_13 //	SuDyataH paQcagavyena brahmakUrcena ca-upari // YS99u-_13 //
   ucchiṣṭena ca saṃspṛṣṭā kadācit strī rajasvalā /	ucCizwena ca saMspRzwA kadAcid strI rajasvalA /
